mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns
trpo,a-2p2_de827d73,2,runs\cost_function_sweep\trpo\a-2p2_de827d73\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.4,64-32-32,1.2748803932876485,1.2748803932876485,0.9934434828452636,0.00025217261170793154,180.0
trpo,a-2p2_7e1ba8ce,1,runs\cost_function_sweep\trpo\a-2p2_7e1ba8ce\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.05,64-32-32,0.48565702604383754,0.48565702604383754,0.9861512310779234,0.0002851849889408962,180.0
trpo,a-2p2_7e1ba8ce,2,runs\cost_function_sweep\trpo\a-2p2_7e1ba8ce\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.05,64-32-32,1.0299139217005178,1.0299139217005178,0.9565168099121211,0.0002602758900451267,180.0
trpo,a-2p2_ac356795,1,runs\cost_function_sweep\trpo\a-2p2_ac356795\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.1,64-32-32,0.6346005096354308,0.6346005096354308,0.9862078673627099,0.00028518715881085244,180.0
trpo,a-2p2_ac356795,2,runs\cost_function_sweep\trpo\a-2p2_ac356795\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.1,64-32-32,0.4899248323099681,0.4899248323099681,0.9924979104356199,0.00020389857580660643,180.0
trpo,a-2p2_417e426d,1,runs\cost_function_sweep\trpo\a-2p2_417e426d\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.2,64-32-32,0.9324707677353978,0.9324707677353978,0.986322037255939,0.0002851978944332566,180.0
trpo,a-2p2_417e426d,2,runs\cost_function_sweep\trpo\a-2p2_417e426d\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.2,64-32-32,0.7895131932379387,0.7895131932379387,0.9925296588915351,0.00020434519436605592,180.0
trpo,a-2p2_e4c96ed7,1,runs\cost_function_sweep\trpo\a-2p2_e4c96ed7\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.4,64-32-32,1.528178820850451,1.528178820850451,0.9865520488981189,0.00028523466316275,180.0
trpo,a-2p2_e4c96ed7,2,runs\cost_function_sweep\trpo\a-2p2_e4c96ed7\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.4,64-32-32,1.3887500276305564,1.3887500276305564,0.992590555549698,0.00020525705448861303,180.0
trpo,a-2p2_7dd94fd1,1,runs\cost_function_sweep\trpo\a-2p2_7dd94fd1\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.05,64-32-32,0.20502360445262988,0.20502360445262988,0.9977797419402002,0.0003939629159609009,180.0
