method,sigma_mhz,num_samples,average_fidelity,average_gate_fidelity,fidelity_variance
noise,0.17,60,0.9982543564951872,0.9978179456189836,4.435004219508459e-07
noise,0.171,60,0.998169336438989,0.9977116705487362,7.528004495289549e-07
noise,0.172,60,0.9983627483437648,0.9979534354297062,4.6617179847289866e-07
noise,0.173,60,0.998278999186132,0.9978487489826652,7.999284646257001e-07
noise,0.174,60,0.9982779337675306,0.9978474172094134,4.79038052369998e-07
noise,0.175,60,0.9981764675562304,0.9977205844452876,6.22247964526174e-07
noise,0.176,60,0.998209617735906,0.9977620221698824,6.639505960299832e-07
noise,0.177,60,0.998248028084796,0.9978100351059946,6.853288267994019e-07
noise,0.178,60,0.9982032809726082,0.9977541012157602,4.6153254616752e-07
noise,0.179,60,0.9981635705350672,0.9977044631688338,6.146716932337769e-07
noise,0.18,60,0.9980593930505208,0.9975742413131508,6.043529400056717e-07
noise,0.181,60,0.9979617699083718,0.9974522123854648,8.303087709485699e-07
noise,0.182,60,0.9981540417849462,0.9976925522311824,3.724241198324709e-07
noise,0.183,60,0.998134658440807,0.9976683230510088,5.621780459010661e-07
noise,0.184,60,0.9981591655186992,0.997698956898374,6.536596489681509e-07
noise,0.185,60,0.9980001533386326,0.9975001916732906,7.57463518979367e-07
noise,0.186,60,0.9981281771600716,0.9976602214500896,5.110389066083925e-07
noise,0.187,60,0.998080594439152,0.99760074304894,5.095055905992905e-07
noise,0.188,60,0.9980374547595852,0.9975468184494812,5.590149128853835e-07
noise,0.189,60,0.9980404848293312,0.997550606036664,6.943715261867833e-07
noise,0.19,60,0.9981588921142712,0.9976986151428388,6.24068073857636e-07
noise,0.191,60,0.9980055917167878,0.9975069896459844,8.132097729062447e-07
noise,0.192,60,0.9979577619275272,0.9974472024094092,8.759480139762653e-07
noise,0.193,60,0.9980007145424902,0.9975008931781127,9.533117835287964e-07
noise,0.194,60,0.9979312734630874,0.9974140918288592,9.291159632711048e-07
noise,0.195,60,0.9980753754850784,0.9975942193563478,7.858371982199106e-07
noise,0.196,60,0.9979205507765035,0.9974006884706292,8.128845389197958e-07
noise,0.197,60,0.9980490565007106,0.9975613206258884,7.446937625064482e-07
noise,0.198,60,0.9978140067858317,0.9972675084822896,1.0753474733762974e-06
noise,0.199,60,0.9980805614988876,0.997600701873609,6.258448023513555e-07
noise,0.2,60,0.9981341757044776,0.997667719630597,6.201386047249736e-07
noise,0.201,60,0.997967135074358,0.9974589188429472,8.401988091580027e-07
noise,0.202,60,0.9978070094696624,0.997258761837078,9.239399592378162e-07
noise,0.203,60,0.9979484376880434,0.9974355471100544,7.049421342779249e-07
noise,0.204,60,0.9979186706918828,0.9973983383648533,9.27045009663243e-07
noise,0.205,60,0.998056820960251,0.9975710262003138,9.098467711247228e-07
noise,0.206,60,0.9978426694870208,0.997303336858776,9.971820593068968e-07
noise,0.207,60,0.997991627217227,0.9974895340215336,8.39467035710277e-07
noise,0.208,60,0.9978187475967564,0.9972734344959452,7.893591681364879e-07
noise,0.209,60,0.9978367396299,0.997295924537375,5.932391294462378e-07
noise,0.21,60,0.997870521304046,0.9973381516300572,8.885603956649869e-07
noise,0.211,60,0.9977957450817028,0.9972446813521284,9.580487895770417e-07
noise,0.212,60,0.9978202271946742,0.9972752839933428,9.651224593420994e-07
noise,0.213,60,0.9977173679131788,0.9971467098914736,8.699544441518253e-07
noise,0.214,60,0.9977748416416689,0.997218552052086,1.010930378942881e-06
noise,0.215,60,0.997668835396756,0.9970860442459452,6.579450652937863e-07
noise,0.216,60,0.9977060807548708,0.9971326009435884,1.276876687792939e-06
noise,0.217,60,0.9978378458081688,0.9972973072602112,7.863909749489222e-07
noise,0.218,60,0.9976001074605656,0.9970001343257072,1.318054062892462e-06
noise,0.219,60,0.9974541083312172,0.9968176354140212,1.324540898620466e-06
