sigma_mhz,adam_fidelity_raw,adam_fidelity_ewma,adam_variance_raw,adam_variance_ewma,nominal_fidelity_raw,nominal_fidelity_ewma,nominal_variance_raw,nominal_variance_ewma,noise_fidelity_raw,noise_fidelity_ewma,noise_variance_raw,noise_variance_ewma
0.2,0.9748862259752712,0.9746624040098035,2.96864918012867e-06,2.406629035726423e-06,0.9939207244848216,0.9944759198259824,6.473067280629145e-06,3.989225187054409e-06,0.997889454687469,0.9983305590724505,7.351368303009552e-07,3.999872709835345e-07
0.21,0.974137079902185,0.9746083696245441,5.297298744465643e-06,2.682000912235307e-06,0.9934105318856666,0.9943663349400369,6.5935830571022205e-06,4.2373223361709505e-06,0.9979017948772888,0.9982864567566212,1.096468459114004e-06,4.663356784646074e-07
0.22,0.9734523761805935,0.9744965798234231,5.164063965024369e-06,2.902861623594656e-06,0.9936603657411368,0.994298064521415,9.26800892591773e-06,4.684966491539568e-06,0.9976447280547924,0.9982243986849888,1.3081553462095223e-06,5.412430787603054e-07
0.23,0.9732457721140726,0.9743821968010034,5.893440906490151e-06,3.152896413986022e-06,0.9935573648372936,0.9942303295147136,9.226448775579586e-06,5.0646683698514594e-06,0.9975359629000234,0.9981614430721977,9.260997164135188e-07,5.734199714702619e-07
0.24,0.9741534954207404,0.97436232082576,5.686589669257729e-06,3.352945972358188e-06,0.992991763317951,0.994122688227041,1.180344239823367e-05,5.596733080345831e-06,0.9975609946694076,0.9981092593137307,9.465133577348732e-07,6.028778259277887e-07
0.25,0.9741078887094418,0.9743412152190132,8.247936290398229e-06,3.719540413719934e-06,0.9931409054658826,0.9940412475615792,1.1502071397066693e-05,6.038994261801489e-06,0.9974731182724142,0.9980564902574975,1.5051527755443992e-06,6.704507851408805e-07
0.26,0.974153720283946,0.9743263138992713,9.156868916599195e-06,4.1072865065736975e-06,0.9929119340895408,0.9939514944110226,1.2377662738456555e-05,6.491016598582654e-06,0.997412065069642,0.9980052740165334,1.1977177481488072e-06,7.080511811237482e-07
0.27,0.9744115418201268,0.9743328253104169,9.275947349002805e-06,4.459455121646539e-06,0.992890711141164,0.993870450594194,1.4373922774603588e-05,7.028121321718978e-06,0.9973541614461188,0.9979555290314918,1.5791659599254162e-06,7.674049082442709e-07
0.28,0.9737134499574422,0.974287201535717,1.353424779254812e-05,5.052025823018763e-06,0.9923442004425672,0.9937580255635257,1.401425915887519e-05,7.484305914378703e-06,0.9970271366972924,0.9978871427734899,1.3543415274845853e-06,8.057310118520707e-07
0.29,0.9734167728846608,0.9742252199106742,1.0463912986412662e-05,5.3916240215286154e-06,0.9929180230215704,0.9936982105258115,1.475863117049586e-05,7.940772887500682e-06,0.9967238122496276,0.9978043041442198,2.1756178885588127e-06,8.91691990240274e-07
0.3,0.9732897340567508,0.9741606707686494,1.0790106965313748e-05,5.717961019230323e-06,0.9920687292120576,0.9935857752385144,1.3773645924109713e-05,8.293368662010552e-06,0.9964430612462846,0.9977103774848475,1.716967145502647e-06,9.415796752159539e-07
0.31,0.9733099308428816,0.9741036670072392,8.804391056423931e-06,5.898093716506706e-06,0.991854474681717,0.9934697695816972,1.6444524430926467e-05,8.769092931435381e-06,0.996284477205544,0.9976148351494586,3.249506822052376e-06,1.076276764431378e-06
0.32,0.9732159674043191,0.9740457949847943,1.13425326081628e-05,6.205495742349682e-06,0.9918270763091016,0.9933626770679356,1.825716592621872e-05,9.304805227593641e-06,0.9960264591067683,0.9975112837524643,3.4068934524836053e-06,1.2078672378718419e-06
0.33,0.9731437973162,0.9739884797355343,1.905116576349989e-05,6.908450441674974e-06,0.9917214144373026,0.9932583870236802,2.143353959694981e-05,9.968526995922524e-06,0.9960052879099188,0.9974155889074492,2.1884811624093727e-06,1.2615294575413887e-06
0.34,0.9730621039496206,0.9739310134145301,1.3335060697270896e-05,7.249880645547238e-06,0.9913816493886868,0.9931419664425154,2.4118467559467955e-05,1.0720278992581257e-05,0.9963306755367743,0.9973482879471164,4.194018397460211e-06,1.4173254770273718e-06
0.35,0.9733018861099836,0.9738928570968488,2.067856764174188e-05,7.943587785646912e-06,0.9903269388167372,0.9929712361505783,2.276828455717625e-05,1.1342662065959059e-05,0.9956930904712264,0.9972479008867251,4.642982713954809e-06,1.5839584067698586e-06
0.36,0.9726359182351518,0.9738182239414495,1.811151303551206e-05,8.455055669234892e-06,0.9904906231002976,0.992823944993539,2.333643983096536e-05,1.1945974145753677e-05,0.9954621498620868,0.9971418684950253,5.623635440123942e-06,1.787162601515093e-06
0.37,0.97273788901639,0.9737553447062839,2.43779491340846e-05,9.236009674563148e-06,0.9898095332124414,0.9926484957852673,3.745574503930586e-05,1.3197126004447206e-05,0.9952673982050304,0.9970327678305537,5.411073799547178e-06,1.964900898345668e-06
0.38,0.9710166273026024,0.9735989121720708,2.262176924556333e-05,9.8769183549015e-06,0.9909714940412124,0.9925527072850189,2.842322220152877e-05,1.3926149797876003e-05,0.9954084800565458,0.9969399902944568,3.868293463755667e-06,2.0560351228020542e-06
0.39,0.9724843169867026,0.9735363674689804,2.4677791293236235e-05,1.056952204397901e-05,0.9901527166412016,0.9924180335449854,2.642491388224672e-05,1.4511026794645806e-05,0.994882047506444,0.9968245103225866,5.206994227000519e-06,2.2034835813350526e-06
0.4,0.9719956101276968,0.9734513457321247,2.1704348249297435e-05,1.107930588817213e-05,0.9897543483251192,0.9922710466459054,2.307865614680338e-05,1.4903277104280503e-05,0.9949351553312032,0.9967202523459406,5.989167865006291e-06,2.3768029175730637e-06
