mode,config_id,seed,run_dir,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,primary_metric,best_eval_cost,best_eval_fidelity,best_eval_leakage,best_eval_time_ns,robustness_sigma_1p0_average_fidelity
trpo,a-2p2_bee7464c,2,runs\cost_function_sweep\trpo\a-2p2_bee7464c\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.2,64-32-32,0.6795305161415571,0.6795305161415571,0.9957141587355232,0.0002126774555143,180.0,0.925342121599535
trpo,a-2p2_bbeef4df,1,runs\cost_function_sweep\trpo\a-2p2_bbeef4df\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.4,64-32-32,1.2926343121379489,1.2926343121379489,0.9956847282876754,0.0002876665472804,180.0,0.923408422245522
trpo,a-2p2_bbeef4df,2,runs\cost_function_sweep\trpo\a-2p2_bbeef4df\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.4,64-32-32,1.2809330468713318,1.2809330468713318,0.9956731521488316,0.000214730384526,180.0,0.9247514264413788
trpo,a-2p2_54944bbb,1,runs\cost_function_sweep\trpo\a-2p2_54944bbb\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.05,64-32-32,0.5236973072084651,0.5236973072084651,0.9648936642722028,0.0002809422290314,180.0,0.9130126436220689
trpo,a-2p2_54944bbb,2,runs\cost_function_sweep\trpo\a-2p2_54944bbb\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.05,64-32-32,0.5519195787978047,0.5519195787978047,0.9629032671909664,0.0002074936049119,180.0,0.9150412688869786
trpo,a-2p2_67401cca,1,runs\cost_function_sweep\trpo\a-2p2_67401cca\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.1,64-32-32,0.6754052943665858,0.6754052943665858,0.9647592606132246,0.0002809681045534,180.0,0.9131639573321437
trpo,a-2p2_67401cca,2,runs\cost_function_sweep\trpo\a-2p2_67401cca\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.1,64-32-32,0.700336026452218,0.700336026452218,0.9629900984379632,0.0002077613112993,180.0,0.9151945773877632
trpo,a-2p2_444b5f60,1,runs\cost_function_sweep\trpo\a-2p2_444b5f60\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.2,64-32-32,0.97888912582525,0.97888912582525,0.9644847065968892,0.000281022893425,180.0,0.9134780783887844
trpo,a-2p2_444b5f60,2,runs\cost_function_sweep\trpo\a-2p2_444b5f60\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.2,64-32-32,0.9972669354007652,0.9972669354007652,0.9631581153544472,0.0002083152715246,180.0,0.9154976203631048
trpo,a-2p2_96d05b98,1,runs\cost_function_sweep\trpo\a-2p2_96d05b98\seed_1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.4,64-32-32,1.5860566892969026,1.5860566892969026,0.9639203296489696,0.0002811569366144,180.0,0.9141260368331473
trpo,a-2p2_96d05b98,2,runs\cost_function_sweep\trpo\a-2p2_96d05b98\seed_2,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.4,64-32-32,1.5915007147949347,1.5915007147949347,0.9634740268273516,0.0002094623396207,180.0,0.916087123373565
