iteration,eval_cost,eval_fidelity,eval_leakage,eval_time_ns,eval_min_cost_time_ns
70,0.397989899696843,0.984614823671012,0.001178464272151,100,100.0
71,0.392477371517127,0.9853239836227431,0.00117373067289,98,98.0
72,0.387663146255776,0.986704493946114,0.001151704172046,96,96.0
73,0.39776953173768304,0.9858830601395321,0.00112354258873,94,94.0
74,0.385272258753164,0.9856907779712221,0.0011638208267090002,96,96.0
75,0.38334905629423804,0.987612211616636,0.0011353271197160001,94,94.0
76,0.394074802335792,0.9873537927221451,0.001186365771983,92,92.0
77,0.393792771729637,0.9864009302686971,0.001162386171768,92,92.0
78,0.38753366715402804,0.9856730674822171,0.0011710367077400002,92,92.0
79,0.39438492697762906,0.9826083204264271,0.00127244269675,96,96.0
80,0.39727841432426003,0.98481496743534,0.001216703516376,94,94.0
81,0.384697682127814,0.9849205980154251,0.0012538886801530002,96,96.0
82,0.385807523178388,0.984724278867049,0.001272313207739,96,96.0
83,0.39656623429258003,0.9833347416613331,0.0012877632077670001,96,96.0
84,0.397397254942538,0.98621693171399,0.001237863953635,92,92.0
85,0.387075340049083,0.9876244817082781,0.0012276234601420002,90,90.0
86,0.38488794457458503,0.985742742790316,0.001310095327035,92,92.0
87,0.37643452433338204,0.9859388631781011,0.0012724488217950001,94,94.0
88,0.39758755489149006,0.9851498521004781,0.0012675661316700001,92,92.0
89,0.391075536772159,0.982716388779694,0.0013745088646050002,100,100.0
90,0.38095076664556204,0.9862066309658931,0.001270901443615,94,94.0
91,0.38506817102615504,0.9855033864450411,0.001252716112111,96,96.0
92,0.39796471487119506,0.9862944538072991,0.001268548234164,94,94.0
