mode,config_id,alpha,gamma,max_kl,termination_cost,init_log_std,dt_ns,max_time_ns,cost_chi,cost_beta,cost_mu,cost_kappa,hidden_sizes,num_runs,primary_metric_mean,primary_metric_min,primary_metric_max,primary_metric_std,best_eval_cost_mean,best_eval_cost_min,best_eval_cost_max,best_eval_cost_std,best_eval_fidelity_mean,best_eval_fidelity_min,best_eval_fidelity_max,best_eval_fidelity_std,best_eval_leakage_mean,best_eval_leakage_min,best_eval_leakage_max,best_eval_leakage_std,best_eval_time_ns_mean,best_eval_time_ns_min,best_eval_time_ns_max,best_eval_time_ns_std
trpo,a-2p2_b115ee9b,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.1,64-32-32,2,0.4778084268469108,0.44042178407375343,0.5151950696200682,0.0373866427731574,0.4778084268469108,0.44042178407375343,0.5151950696200682,0.0373866427731574,0.9947474841918642,0.9935883533989958,0.9959066149847327,0.0011591307928684458,0.00024350288843384837,0.0001978975026216485,0.00028910827424604823,4.5605385812199864e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_ba3552fe,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.1,64-32-32,2,0.4860074247668196,0.48518046832907213,0.48683438120456707,0.000826956437747467,0.4860074247668196,0.48518046832907213,0.48683438120456707,0.000826956437747467,0.9654037986721922,0.9640559130910579,0.9667516842533265,0.0013478855811343005,0.00030664565939544843,0.00022065544378543821,0.0003926358750054586,8.59902156100102e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_54944bbb,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.05,64-32-32,2,0.5378084430031349,0.5236973072084651,0.5519195787978047,0.014111135794669827,0.5378084430031349,0.5236973072084651,0.5519195787978047,0.014111135794669827,0.9638984657315846,0.9629032671909664,0.9648936642722027,0.0009951985406181363,0.00024421791697168204,0.00020749360491191616,0.0002809422290314479,3.672431205976587e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_ac356795,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.1,64-32-32,2,0.5622626709726994,0.4899248323099681,0.6346005096354308,0.07233783866273136,0.5622626709726994,0.4899248323099681,0.6346005096354308,0.07233783866273136,0.989352888899165,0.9862078673627099,0.9924979104356199,0.0031450215364549616,0.00024454286730872944,0.00020389857580660643,0.00028518715881085244,4.0644291502123e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_3780f18e,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.2,64-32-32,2,0.6329985112440049,0.6213467650030682,0.6446502574849415,0.011651746240936678,0.6329985112440049,0.6213467650030682,0.6446502574849415,0.011651746240936678,0.9951585130543399,0.993011008597058,0.9973060175116218,0.0021475044572819013,0.0003742858231573019,0.00026216677923833855,0.0004864048670762652,0.00011211904391896332,180.0,180.0,180.0,0.0
trpo,a-2p2_f4ba3980,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.2,64-32-32,2,0.6534667451646089,0.6318787323378792,0.6750547579913386,0.02158801282672973,0.6534667451646089,0.6318787323378792,0.6750547579913386,0.02158801282672973,0.9955423852928891,0.9934450471306634,0.9976397234551148,0.0020973381622256815,0.00032382688001981064,0.00025081645895523157,0.0003968373010843897,7.301042106457907e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_bee7464c,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.1,0.2,64-32-32,2,0.6867703904401562,0.6795305161415571,0.6940102647387553,0.007239874298599069,0.6867703904401562,0.6795305161415571,0.6940102647387553,0.007239874298599069,0.995594404123011,0.9954746495104989,0.9957141587355232,0.00011975461251212405,0.0002500039030266641,0.0002126774555143405,0.0002873303505389877,3.7326447512323586e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_67401cca,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.1,64-32-32,2,0.6878706604094019,0.6754052943665858,0.700336026452218,0.012465366042816117,0.6878706604094019,0.6754052943665858,0.700336026452218,0.012465366042816117,0.9638746795255939,0.9629900984379632,0.9647592606132246,0.0008845810876306759,0.00024436470792641037,0.0002077613112993648,0.0002809681045534559,3.660339662704554e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_d2aadef6,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.4,0.2,64-32-32,2,0.7029987807570053,0.6552366347163585,0.750760926797652,0.04776214604064677,0.7029987807570053,0.6552366347163585,0.750760926797652,0.04776214604064677,0.995721477798751,0.9936775256712131,0.9977654299262888,0.002043952127537829,0.00031952400399290606,0.00024476549154509383,0.0003942825164407183,7.475851244781223e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_7e1ba8ce,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.05,64-32-32,2,0.7577854738721777,0.48565702604383754,1.0299139217005178,0.2721284478283401,0.7577854738721777,0.48565702604383754,1.0299139217005178,0.2721284478283401,0.9713340204950223,0.9565168099121211,0.9861512310779234,0.014817210582901141,0.00027273043949301143,0.0002602758900451267,0.0002851849889408962,1.2454549447884746e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_36adba28,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.2,0.2,64-32-32,2,0.7774819968630702,0.7407843290046703,0.81417966472147,0.03669766785839984,0.7774819968630702,0.7407843290046703,0.81417966472147,0.03669766785839984,0.994781850627883,0.9936544176065573,0.9959092836492088,0.0011274330213257855,0.0002437122848642622,0.0001983385096688167,0.0002890860600597077,4.5373775195445515e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_9f9fdee6,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.2,0.2,64-32-32,2,0.7818110958561115,0.7815230221906723,0.7820991695215509,0.00028807366543931456,0.7818110958561115,0.7815230221906723,0.7820991695215509,0.00028807366543931456,0.9676149508606537,0.9671751721568311,0.9680547295644764,0.0004397787038226131,0.0003201929747206245,0.000248744518601014,0.00039164143084023504,7.144845611961053e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_417e426d,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,20.0,10.0,0.1,0.2,64-32-32,2,0.8609919804866683,0.7895131932379387,0.9324707677353978,0.07147878724872958,0.8609919804866683,0.7895131932379387,0.9324707677353978,0.07147878724872958,0.989425848073737,0.986322037255939,0.9925296588915351,0.003103810817798036,0.0002447715443996563,0.00020434519436605592,0.0002851978944332566,4.042635003360035e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_c4c500cd,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.05,64-32-32,2,0.9722034258649938,0.9568894388320381,0.9875174128979494,0.015313987032955612,0.9722034258649938,0.9568894388320381,0.9875174128979494,0.015313987032955612,0.8372780456482348,0.8335608275736326,0.8409952637228371,0.0037172180746022354,0.00018656023176674295,0.00014418814986348329,0.0002289323136700026,4.2372081903259653e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_444b5f60,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.4,0.2,64-32-32,2,0.9880780306130077,0.9788891258252501,0.9972669354007652,0.009188904787757524,0.9880780306130077,0.9788891258252501,0.9972669354007652,0.009188904787757524,0.9638214109756681,0.9631581153544471,0.9644847065968891,0.0006632956212210273,0.0002446690824748235,0.0002083152715246352,0.00028102289342501184,3.635381095018832e-05,180.0,180.0,180.0,0.0
trpo,a-2p2_c7e8dd91,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.4,0.1,64-32-32,2,1.1267722057839975,1.1073902758101415,1.1461541357578535,0.019381929973856016,1.1267722057839975,1.1073902758101415,1.1461541357578535,0.019381929973856016,0.8406790882791608,0.8403927730223684,0.8409654035359533,0.0002863152567924576,0.00026835952128451325,0.0001445944895051279,0.0003921245530638986,0.00012376503177938535,180.0,180.0,180.0,0.0
trpo,a-2p2_dc7e8ba1,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,5.0,10.0,0.1,0.4,64-32-32,2,1.2338403356453356,1.2216985281518602,1.245982143138811,0.012141807493475376,1.2338403356453356,1.2216985281518602,1.245982143138811,0.012141807493475376,0.995085493931531,0.9930245457888455,0.9971464420742165,0.002060948142685537,0.00037482423833125095,0.00026468761306638986,0.000484960863596112,0.00011013662526486106,180.0,180.0,180.0,0.0
trpo,a-2p2_de827d73,2.2,pi/2,0.005,0.15,-1.0,2.0,180.0,10.0,10.0,0.2,0.4,64-32-32,2,1.2539004975166157,1.2329206017455832,1.2748803932876485,0.020979895771032653,1.2539004975166157,1.2329206017455832,1.2748803932876485,0.020979895771032653,0.9955124536646786,0.9934434828452636,0.9975814244840935,0.002068970819414928,0.00032468621757989673,0.00025217261170793154,0.00039719982345186186,7.251360587196516e-05,180.0,180.0,180.0,0.0
